firm_id,year,province,asset,type,area,staff,industry,age,profit,revenue,wage
300119.SZ,2010,12,1622422479,0,1,1055,44,9,125753527.9,345619033.5,56.84
300112.SZ,2010,44,443645731.7,0,1,362,38,16,122696064.2,164312073.3,117.01
300105.SZ,2010,37,1723435470,1,1,484,10,12,14931880.61,487471254.8,218
300100.SZ,2010,33,1170123581,0,1,1959,30,10,35058774.61,775887891.6,53.32
300099.SZ,2010,37,675586128.8,0,1,271,38,12,49126927.7,113348964.8,59.13
300097.SZ,2010,21,475581771.6,0,2,256,11,11,57830067.14,151604149.2,53.7
300095.SZ,2010,36,861889650.9,0,3,1083,11,9,84249507.6,314519038,26
300094.SZ,2010,44,2079500791,0,1,2523,56,9,109717664.7,1222862374,124
300093.SZ,2010,44,981418289,0,1,289,49,16,164364975.4,295441133.2,51.76
300092.SZ,2010,51,607914837.9,0,4,548,11,13,211621501.4,195408374.4,67.14
300084.SZ,2010,62,641936615.1,0,4,240,34,10,38281857.42,97302362.2,106.06
300083.SZ,2010,44,1430417796,0,1,3378,11,7,80076995.77,959932088.8,163.06
300082.SZ,2010,21,3009277830,0,2,358,48,10,58812012.67,2211280710,96.71
300081.SZ,2010,11,930181188.8,0,1,3076,39,9,18923702.53,1029148194,71.31
300072.SZ,2010,11,1450109045,1,1,379,48,13,73692696.4,430175339.6,214.59
300070.SZ,2010,11,3171913249,0,1,390,10,9,117591786.2,500470845.5,66.3
300067.SZ,2010,31,745915328.2,0,1,237,48,11,128221499.6,187685492.1,100.68
300066.SZ,2010,36,923727400,0,3,664,38,6,154187180.8,381313651.6,44.64
300063.SZ,2010,44,692682110.6,0,1,784,22,9,123796173,268915500,35.76
300056.SZ,2010,35,456965710.1,0,1,165,10,9,119654992.1,170668939.2,71.77
300055.SZ,2010,11,1809872248,0,1,296,10,12,176459820.8,267005560.4,71.71
300052.SZ,2010,44,934469338.8,0,1,571,39,7,169016691.3,79597515.17,77.07
300048.SZ,2010,11,1541299443,0,1,335,7,7,172678129.9,387402720,114.27
300043.SZ,2010,44,748514949.6,0,1,902,39,10,158933034.3,324501012.3,23.66
300041.SZ,2010,42,913559431.8,0,4,391,48,12,184289580.4,414461411.9,24.77
300040.SZ,2010,23,1143140973,0,2,911,7,13,180795988.3,468266637,60
300022.SZ,2010,51,2540671657,0,4,885,6,16,15836272.64,3651894738,8.92
300021.SZ,2010,62,784382798.8,0,4,803,11,5,18995953.76,327093474.8,37.54
300019.SZ,2010,51,468956961.7,0,4,254,48,12,28068605.63,202629126.1,181.62
300013.SZ,2010,32,410353671.4,0,1,255,3,13,79820206.13,246171435.6,12
300011.SZ,2010,11,815209094.7,0,1,334,11,8,47286270.84,295361905.6,103.43
300008.SZ,2010,31,582582279.2,0,1,401,6,9,120977148.9,202884274.9,84
